Trial,entani論文のPerfectIncorporation_wᴸ,entani論文のPerfectIncorporation_wᵁ,中心総和1のPerfectIncorporation_wᴸ,中心総和1のPerfectIncorporation_wᵁ,解の非唯一性考慮のPerfectIncorporation_wᴸ,解の非唯一性考慮のPerfectIncorporation_wᵁ,entani論文のCommonGround_wᴸ,entani論文のCommonGround_wᵁ,中心総和1のCommonGround_wᴸ,中心総和1のCommonGround_wᵁ,解の非唯一性考慮のCommonGround_wᴸ,解の非唯一性考慮のCommonGround_wᵁ,entani論文のPartialIncorporation_wᴸ,entani論文のPartialIncorporation_wᵁ,中心総和1のPartialIncorporation_wᴸ,中心総和1のPartialIncorporation_wᵁ,解の非唯一性考慮のPartialIncorporation_wᴸ,解の非唯一性考慮のPartialIncorporation_wᵁ
130,"[0.30000003500000116, 0.19117647095860554, 0.10526316233918015, 0.09999999500000087, 0.04411764520697231]","[0.3823529419172115, 0.31578946289056076, 0.2205882260348565, 0.19999998999999902, 0.10526315630743689]","[0.32432432194337124, 0.18750006999999838, 0.10810811465572696, 0.09375003500000023, 0.044117657058824]","[0.38235292117647024, 0.3453794352710275, 0.2205882852941202, 0.19117646058823468, 0.10270269901222649]","[0.32458877316578283, 0.187652985862956, 0.10819626506319699, 0.093826492931478, 0.04415362843834253]","[0.3826646731323033, 0.3440302607487531, 0.22076814219171265, 0.19133233656615165, 0.10278644189932346]",E,r,E,r,E,r,"[0.3000000350000009, 0.1911764205882361, 0.19999998999999974, 0.1578947688421068, 0.068575979393185]","[0.3823528411764722, 0.2473683950526302, 0.19999998999999974, 0.17368419552631573, 0.0789473844210534]","[0.32432434396718063, 0.19117646058823534, 0.18750007000000002, 0.1542130771612156, 0.08108108048584303]","[0.3823529211764707, 0.22702701655083707, 0.20540539802445323, 0.1658385515599214, 0.08108108048584303]","[0.32492160722035646, 0.19152851615301503, 0.18784539298150094, 0.1624607925779948, 0.07326670439570201]","[0.38305703230603005, 0.24170024934539325, 0.19152851615301505, 0.1624607925779948, 0.08123039628899742]"
131,"[0.2698412596717774, 0.19047619904761984, 0.09523809952381061, 0.0925925985247964, 0.023255816217639124]","[0.4186046432382625, 0.2698412596717774, 0.2698412596717774, 0.19047617904761766, 0.19047617904761882]","[0.269841264692016, 0.1951219588861786, 0.09756097944308947, 0.08401995957700002, 1.0e-8]","[0.42352940757865915, 0.2698412646920161, 0.269841264692016, 0.19512194521951234, 0.19512194521951232]","[0.2640355398356494, 0.19569694008752264, 0.09784847004376118, 0.09060043863251394, 0.022755458965839855]","[0.40959821992170126, 0.2640355398356494, 0.2640355398356494, 0.1956969264208565, 0.1956969264208565]",E,r,E,r,E,r,"[0.27777779557438864, 0.1904762390476198, 0.19047617904761888, 0.1269841259671778, 0.05463273130553331]","[0.4186046424531134, 0.26984125967177797, 0.2698412596717779, 0.18253966469464586, 0.05555555911487773]","[0.27409077626797396, 0.19512198621951135, 0.19512194521951234, 0.1294117699932387, 0.023529411304935775]","[0.42352940348884394, 0.2698412646920161, 0.2698412646920161, 0.16395661864848565, 0.05555555947346604]","[0.27664933995209817, 0.19918755119661555, 0.19918750934234003, 0.12646826166542824, 0.044925660930135836]","[0.41690409046728893, 0.2687450490154457, 0.2687450490154457, 0.14385762042478212, 0.05532986799041964]"
132,"[0.2857142590476262, 0.14285717619047442, 0.09090909790909277, 0.09090909790908958, 0.0357142823809531]","[0.39024387743902605, 0.2857142590476188, 0.2857142590476262, 0.18181817381818144, 0.18181817381818002]","[0.3018867804528297, 0.15094341672641576, 0.09523811023809542, 0.039226035728989986, 0.03773584755660371]","[0.3902438774390247, 0.3018867804528297, 0.3018867804528297, 0.1904761854761905, 0.19047618547619033]","[0.30538744385560096, 0.15269374842780137, 0.08675781327715917, 0.08675779577715947, 0.03817343048195012]","[0.3724236973604893, 0.3053874438556007, 0.30538744385560096, 0.17351559155431912, 0.17351559155431884]",E,r,E,r,E,r,"[0.28571435956044156, 0.1818182031515161, 0.18181818848484865, 0.1428571151648344, 0.12543561976199602]","[0.363636347636363, 0.24643642049277387, 0.19512195921951236, 0.1428571151648344, 0.12987014556243787]","[0.3018868334528315, 0.1904762204761907, 0.19047618547619044, 0.14285713035714276, 0.09523809273809522]","[0.3809523709523809, 0.2568097448631461, 0.19512193871951225, 0.1509433902264149, 0.09523809273809522]","[0.3200000471912019, 0.18292683117149364, 0.18292683117149364, 0.15999999550559982, 0.10829271342122904]","[0.3658536287301839, 0.2165852886624572, 0.19512195521951214, 0.15999999550559982, 0.10829271342122904]"
133,"[0.25000001384615256, 0.18181821643356474, 0.12500000692307667, 0.0869565205626598, 0.03636364328671291]","[0.3999999492307716, 0.2608695616879795, 0.2608695616879794, 0.24999997692307951, 0.1304347808439897]","[0.2553191610414336, 0.18181821643356463, 0.12765958052071685, 0.08695652855731183, 0.03636364328671286]","[0.3999999492307722, 0.2652594217988111, 0.26086958567193547, 0.255319136304591, 0.13043477715415058]","[0.2596380783510752, 0.18095990986541932, 0.1298190561679083, 0.08654602611702505, 0.03619198197308377]","[0.3981116747808511, 0.2596380783510752, 0.25963807835107516, 0.2596380768669495, 0.1298190391755376]",E,r,E,r,E,r,"[0.2500000359999974, 0.1969696895850804, 0.20000005923077172, 0.16666665866666716, 0.03636364328671358]","[0.3999999492307671, 0.24999998800000087, 0.2608695514242875, 0.16666665866666716, 0.08333332933333362]","[0.24976876875574425, 0.19999997461538646, 0.2000000592307649, 0.14893615713584246, 0.05106385978723335]","[0.39999994923077287, 0.25531914201309314, 0.26086955142428897, 0.14893615713584246, 0.08510638067103105]","[0.260869577179624, 0.1999999754359566, 0.1999999754359566, 0.13043477832561548, 0.06956532403340973]","[0.3999999508719132, 0.26086955665123096, 0.2608695648569342, 0.13043477832561548, 0.08695651888374364]"
134,"[0.2499999963265309, 0.1538461635431235, 0.15384614778554795, 0.10344829495298015, 0.038461536946386835]","[0.4137930216300857, 0.3076922955710959, 0.24999999632653114, 0.30769227981352154, 0.12499999816326544]","[0.2526315725187967, 0.15686275332026126, 0.15686274198692834, 1.0e-8, 0.013451573818012055]","[0.4137930216300939, 0.3137254839738567, 0.2526315725187967, 0.313725483973856, 0.12631578625939835]","[0.2368958995243127, 0.14845472854634453, 0.14845472854634462, 0.09598367685794182, 0.03711368213658609]","[0.38393454924995485, 0.29690945709268923, 0.23689589952431273, 0.29690942875935733, 0.11844794976215636]",E,r,E,r,E,r,"[0.3076923270862473, 0.20689655172413793, 0.15384614778554773, 0.12499996538461762, 0.06896551724137931]","[0.3563218190804581, 0.22270117942528558, 0.24999993076923524, 0.24679482846154013, 0.06896551724137931]","[0.3137254864923748, 0.20689655425934908, 0.156862762135076, 0.12631577947368386, 0.05783428021096987]","[0.3563218271086294, 0.29952668699987667, 0.2526315589473677, 0.1720507841617026, 0.05783428021096987]","[0.3188547026358446, 0.20615606793928734, 0.15942734309033268, 0.12455262075656906, 0.06871867983893064]","[0.3550465267123892, 0.20615606793928734, 0.24910521866583443, 0.24326409258259407, 0.06871867983893064]"
135,"[0.40816326530612224, 0.20408163265306137, 0.10204083632653138, 0.06896552531830207, 0.04591837234693754]","[0.413793084986737, 0.20689654249336945, 0.20689657595490618, 0.2068965424933691, 0.10344827124668456]","[0.4081632724489792, 0.2040816362244896, 0.10344829027383423, 0.0689655154766734, 0.04591836377551035]","[0.4145076845207262, 0.2369592795440501, 0.20725384226036303, 0.20725384226036309, 0.10344827321501009]","[0.4146930063757471, 0.20734650318787343, 0.10510323919705801, 0.07006881475882304, 0.04665295884227164]","[0.4204128885529381, 0.21020647839411602, 0.21020644427646912, 0.21020644427646912, 0.10510322213823478]",E,r,E,r,E,r,"[0.4081632829531831, 0.20408164088835312, 0.20408164147659155, 0.10626321687884477, 0.06896551416445636]","[0.41379308498673817, 0.20689654249336908, 0.20408164147659155, 0.11470792051741584, 0.06896551416445636]","[0.4081632824489793, 0.20408164122448966, 0.20408164122448966, 0.1051913165177518, 0.06896551547667344]","[0.41450768452072334, 0.20725384226036167, 0.20408164122448966, 0.11470791962536792, 0.06896551547667344]","[0.40816328244897887, 0.20408164122448944, 0.19563693090201417, 0.1147079202136041, 0.06896551488843816]","[0.413793089330629, 0.2068965446653145, 0.20408164122448944, 0.1147079202136041, 0.06896551488843816]"
136,"[0.23076921576922937, 0.14102565352564259, 0.1923076923076918, 0.09829060829059777, 0.032258073516128846]","[0.3870967426935471, 0.23076921576923032, 0.23076921576922937, 0.2307692157692297, 0.16129033658064584]","[0.23076926451923221, 0.14102562102564004, 0.19230768828983505, 0.09829061016559917, 0.03225807351612614]","[0.3870967426935583, 0.29542313417090477, 0.23076926451923221, 0.23076926451923221, 0.16129033658064013]","[0.23847851756759747, 0.14573688553107758, 0.19873210586773485, 0.10157420137208169, 0.03333571708103987]","[0.4000284654724776, 0.23847851756759883, 0.23847851756759775, 0.23847851756759747, 0.16667855440519716]",E,r,E,r,E,r,"[0.2820513070512834, 0.1794871894871801, 0.19354837134677438, 0.1910670556215494, 0.038461535814479766]","[0.38461535814479764, 0.19354837134677438, 0.23076921576922996, 0.23076921576922996, 0.07692307192307665]","[0.2808105660527402, 0.1794872382371806, 0.19230769534823328, 0.19230769534823305, 0.03846153906964661]","[0.3846153748856541, 0.19354837134677413, 0.23076921576923048, 0.23076921576923048, 0.07692308817307712]","[0.2818764376143368, 0.17937591111574314, 0.19218850316179564, 0.19218846140198434, 0.03843769228039687]","[0.3843769228039687, 0.1934283793017249, 0.23062615385144988, 0.23062615385144988, 0.07687538461714996]"
137,"[0.23414633600886994, 0.19047619404761912, 0.0952380970238092, 0.09523809702380978, 0.027777781527777875]","[0.3888888513888883, 0.34146336008869055, 0.23414633600886994, 0.19444442569444428, 0.1904761790476188]","[0.15782255913462584, 0.19512195546951155, 0.09756097773475597, 0.09756097773475614, 1.0e-8]","[0.40776697292284214, 0.38709666919354435, 0.25806444612902946, 0.20388348646142107, 0.19512194521951237]","[0.24210995658690926, 0.1876350796437618, 0.093817550071881, 0.09381755007188088, 0.026805015249860478]","[0.3752701592875236, 0.36316457321374773, 0.24210995658690926, 0.18763507964376291, 0.1876350796437623]",E,r,E,r,E,r,"[0.2780509404878062, 0.1904762090476191, 0.1904762090476191, 0.1170714907317063, 0.09268364682926873]","[0.38888885138888807, 0.2780509404878062, 0.2341429814634125, 0.14541157698025498, 0.09268364682926873]","[0.26267297230990283, 0.19512198621951135, 0.19512194521951234, 0.12903222306451723, 0.06419537233170705]","[0.4077669729228423, 0.3314544045905429, 0.19512194521951234, 0.13779372330642686, 0.08171845481552478]","[0.26267304355996346, 0.195852528205999, 0.195852528205999, 0.12903225806451613, 0.08755768118665448]","[0.3917050043368315, 0.3248844889828669, 0.195852528205999, 0.12903225806451613, 0.08755768118665448]"
138,"[0.28915663850602674, 0.12121212511455101, 0.14457831925301523, 0.0789473984210379, 0.04545454691795948]","[0.3636363753436811, 0.3157894511842214, 0.2650601689638365, 0.18181815547671704, 0.1818181554767196]","[0.2891566385060247, 0.12861732934405087, 0.14457831925301087, 0.07894739842105399, 0.0061466629301535625]","[0.3858519880321526, 0.31578945118421103, 0.26506022429718895, 0.1929259940160764, 0.1929259940160772]","[0.284963523112264, 0.12634594979443037, 0.14248176155613201, 0.07780256538920372, 0.03790384713833361]","[0.37903784938328944, 0.31121011905681495, 0.2612165351862424, 0.18951892469164472, 0.18951892469164466]",E,r,E,r,E,r,"[0.28915672150602384, 0.1818182118181829, 0.15789479684210728, 0.14457825700301222, 0.08349187843558298]","[0.3636364236363658, 0.31578945118420976, 0.1936166290493565, 0.17743685706051177, 0.08349187843558298]","[0.289156721506024, 0.19292605574126853, 0.15789479684210558, 0.14457825700301213, 0.08349187843558414]","[0.38585208774207785, 0.3241877610349576, 0.1936166290493555, 0.14480393421003046, 0.08349187843558414]","[0.290476777977734, 0.19365112645405191, 0.1586156171894088, 0.1452382847652285, 0.08387303504121285]","[0.3873022210541391, 0.3172310912282747, 0.19365112645405191, 0.1452382847652285, 0.08472243507067002]"
139,"[0.18181820515151725, 0.18181816848484797, 0.11363637054112434, 0.0909091025757586, 0.04545454259740242]","[0.36363636363636387, 0.3636363003030254, 0.18181820515151725, 0.19480517980519524, 0.1818181703896105]","[0.18181818681818307, 0.18181818681818065, 0.11764705507352874, 0.09411766530882237, 0.04705882202941232]","[0.376470576235293, 0.4297937391760925, 0.18823533061764694, 0.19480514980519303, 0.18823528811764698]","[0.19145299820132913, 0.1914529859791079, 0.11965814512583017, 0.09572649910066457, 0.047863249550332276]","[0.38290599640265843, 0.38290595973599356, 0.19145299820132913, 0.2051281695014252, 0.19145299820132927]","[0.3636363514329741, 0.18181818206743441, 0.18181818206743441, 0.18181818206743441, 0.09090908057010716]","[0.3636363588906008, 0.18181820386204992, 0.18181818690292745, 0.18181818690292745, 0.09090908785824353]",E,r,"[0.35897435692188545, 0.19230764904103545, 0.17948718727612784, 0.17948716287277533, 0.08974358686508166]","[0.35897435692188545, 0.19230768843375956, 0.17948720019950754, 0.17948720019950754, 0.08974359363806392]","[0.3636363461157036, 0.18181820894214729, 0.1818181730578518, 0.18181819223140472, 0.09090907965289256]","[0.3636363461157036, 0.18181820894214729, 0.1818181730578518, 0.18181819223140472, 0.09090907965289256]","[0.36363637440559454, 0.18181819032779672, 0.18181817239510487, 0.16256687277555432, 0.09090909047639893]","[0.37647057623529456, 0.18823528811764728, 0.18181817239510487, 0.18181817239510484, 0.09090909047639893]","[0.36363637354646405, 0.18181818677323203, 0.1818181665008897, 0.1818181797927982, 0.09090909338661601]","[0.36363637354646405, 0.18181818677323203, 0.1818181665008897, 0.1818181797927982, 0.09090909338661601]"
140,"[0.27272724272726867, 0.1666666416666668, 0.11111114444444474, 0.09767442443798446, 0.045454540454544945]","[0.3906976380297166, 0.27272724272726867, 0.27272724272726867, 0.18139535967054252, 0.1666666416666664]","[0.2727272662987016, 0.19512193496951258, 0.09756099310975569, 0.0627392206727706, 0.045454544383116566]","[0.39069763802971563, 0.2727272662987016, 0.2727272662987006, 0.19512193496951258, 0.19512193496951258]","[0.2679406246140123, 0.1919202252500118, 0.09596013825000584, 0.09596012755556124, 0.04465677076900205]","[0.38384045050002474, 0.2679406246140123, 0.26794058794734704, 0.1919202252500118, 0.1919202252500118]",E,r,E,r,E,r,"[0.30303034303030746, 0.19534884887596865, 0.19534884887596865, 0.1363636213636347, 0.09252994400281978]","[0.3627907193410846, 0.2727272427272694, 0.19534884887596865, 0.15398163890415828, 0.09252994400281978]","[0.3030303273160162, 0.19512198621951124, 0.19512198621951124, 0.13636363314935063, 0.08314852447260149]","[0.39024386993902527, 0.2727272662987016, 0.20473024876332988, 0.1363636331493508, 0.08314852447260149]","[0.30251159015336676, 0.1915906978996908, 0.1915906978996908, 0.13613020145036864, 0.09579525156520667]","[0.38318129515441324, 0.2722604029007373, 0.19501440996095049, 0.13613020145036864, 0.09579525156520667]"
141,"[0.2608695620031087, 0.20000000750000257, 0.10344833638839403, 0.08695652066770276, 0.0333333345833333]","[0.41379304029036734, 0.26086956200310746, 0.2608695620031074, 0.20689652014518448, 0.16666663541666252]","[0.26086956345268475, 0.20000000749999947, 0.10489514685938917, 0.08695652115089507, 0.02950240523722064]","[0.4195803831518491, 0.26086956345268475, 0.26086956345268475, 0.20979019157592455, 0.16666665416666784]","[0.2616934930666808, 0.20063168543445423, 0.10377504439343788, 0.08723116435556012, 0.03343861423907583]","[0.41509997328803255, 0.2616934930666808, 0.2616934930666804, 0.20754998664401678, 0.1671930524453804]",E,r,E,r,E,r,"[0.26086959521739134, 0.20000001166666584, 0.19999999500000035, 0.1379311100090813, 0.04137933455535635]","[0.4137930402903747, 0.2608695652173913, 0.2608695652173913, 0.17601193979246965, 0.04137933455535635]","[0.2608695952173915, 0.20000001166666662, 0.16200469569513926, 0.16666667083333336, 0.041958058743756715]","[0.4195803831518471, 0.27065974512664814, 0.26086956521739135, 0.17543321560406908, 0.041958058743756715]","[0.26177225390702813, 0.20069204995617307, 0.1799308523090456, 0.1591695348879853, 0.04152250670601914]","[0.41522486489509075, 0.26177222380322246, 0.26177222380322246, 0.17662098302619395, 0.04152250670601914]"
142,"[0.19354863709678777, 0.15384621670329948, 0.12587421444555796, 0.08602153037634572, 0.03846153246153841]","[0.3846153246153836, 0.25806459112903624, 0.25806459112903635, 0.20979022121878227, 0.17307692207692305]","[0.13626423959699752, 0.14545456545454494, 0.14545456545454494, 0.026423670090248652, 0.03846153246153679]","[0.3846153246153866, 0.32967007967036427, 0.3296700796703583, 0.29090902090909443, 0.17307692207692366]","[0.12957201533351104, 0.14629056728719583, 0.14629056728719592, 0.09143164640065177, 0.03657262736026094]","[0.36572627360260906, 0.31347921451650246, 0.3134792145165025, 0.2925810245743964, 0.16457684912117396]",E,r,E,r,E,r,"[0.30107529029868607, 0.19230773321678418, 0.19230773321678418, 0.19230766230769158, 0.056244809158917164]","[0.36013981832167685, 0.258064505017921, 0.19230773321678418, 0.19230766230769158, 0.0629370529370632]","[0.27362582771726907, 0.1923077332167826, 0.1923077332167826, 0.13626423959708375, 0.06813211979854192]","[0.38461532461538556, 0.3296700796703226, 0.1923077332167826, 0.15804192622377689, 0.0727272827272723]","[0.27586208335314916, 0.19230773321678288, 0.1900718825809894, 0.136264136263446, 0.068132068131723]","[0.35941643348951546, 0.32966982967069247, 0.19230766230769256, 0.1870026501477219, 0.06896552083828729]"
143,"[0.22222226222222288, 0.17647062823529155, 0.16176472838234998, 0.10000000749999818, 0.05392157612745062]","[0.399999970000003, 0.3333332133333349, 0.22222226222222288, 0.2499999887499986, 0.11764702882353181]","[0.2222222172222221, 0.17647062823529389, 0.16176472838235284, 0.045751628986928305, 0.05392157612745094]","[0.39999997000000026, 0.3333333258333333, 0.2222222172222221, 0.2666666791666664, 0.11764702882352954]","[0.21635380835325652, 0.17181041041498, 0.15749286204706558, 0.09735921740182221, 0.05249762068235516]","[0.3894368096072922, 0.32453067395845675, 0.21635380835325685, 0.25962457223819346, 0.11454021694332193]",E,r,E,r,E,r,"[0.29444443294444383, 0.20000002400000033, 0.17647059990196023, 0.11111114311111248, 0.09999999699999995]","[0.35294117147058846, 0.29444443294444383, 0.1999999939999999, 0.14705881352941136, 0.09999999699999995]","[0.33333330333333294, 0.20000002399999975, 0.1666667191666673, 0.11111111611111117, 0.05555555805555573]","[0.3529410864705915, 0.33333330333333294, 0.19999999400000004, 0.18039222086274215, 0.06666667466666658]","[0.33333328833333525, 0.20000002399999986, 0.16666666666666669, 0.11111111111111112, 0.0555556455555517]","[0.39999998800000014, 0.33333328833333525, 0.19999999400000007, 0.1333333193333333, 0.06666667466666662]"
